chordName,formula
Major,"0,4,7"
Minor,"0,3,7"
Aug,"0,4,8"
Dim,"0,3,6"
Fifth,"0,7"
Fifth_9th,"0,7,14"
Fifth_Octave,"0,7,12"
Octave,"0,12"
Sus2,"0,2,7"
Sus4,"0,5,7"
11,"0,4,7,10,14,17"
11b9,"0,4,7,10,13,17"
13,"0,4,7,10,14,21"
13#9,"0,4,7,10,15,21"
13b5b9,"0,4,6,10,13,21"
13b9,"0,4,7,10,13"
6,"0,4,7,9"
6add9,"0,4,7,9,14"
6sus4,"0,5,7,9"
7,"0,4,7,10"
7#11,"0,4,7,10,18"
7#5,"0,4,8,10"
7#5#9,"0,4,7,10,15"
7#5b9,"0,4,7,10,13"
7#9,"0,4,7,10,15"
7add11,"0,4,7,10,17"
7add13,"0,4,7,10,21"
7b5,"0,4,6,10"
7b5b9,"0,4,6,10,13"
7b9,"0,4,7,10,13"
7sus4,"0,5,7,10"
9,"0,4,7,10,14"
9#11,"0,4,7,10,14,18"
9#5,"0,4,8,10,14"
9b13,"0,4,7,10,14,21"
9b5,"0,4,6,10,14"
9sus4,"0,5,7,10,14"
add9,"0,4,7,14"
augsus4,"0,5,8"
m11,"0,3,7,10,14,17"
m13,"0,3,7,10,14,21"
m6,"0,3,7,9"
m6add9,"0,3,7,9,14"
m7,"0,3,7,10"
m7add11,"0,3,7,10,17"
m7add13,"0,3,7,10,21"
m7b5,"0,3,6,10"
m7b9,"0,3,7,10,13"
m9,"0,3,7,10,14"
m9b5,"0,3,6,10,14"
m9-Maj7,"0,3,7,11,14"
madd9,"0,3,7,14"
Maj11,"0,4,7,11,14,17"
Maj13,"0,4,7,11,14,21"
Maj7,"0,4,7,11"
Maj7#11,"0,4,7,11,18"
Maj7#5,"0,4,8,11"
Maj7add13,"0,4,7,11,21"
Maj7b5,"0,4,6,10"
Maj9,"0,4,7,11,14"
Maj9#11,"0,4,7,11,14,18"
Maj9#5,"0,4,8,11,14"
Maj9sus4,"0,5,7,11,14"
Majb5,"0,4,6"
mb5,"0,3,6"
m-Maj11,"0,3,7,11,14,17"
m-Maj13,"0,3,7,11,14,21"
m-Maj7,"0,3,7,11"
m-Maj7add11,"0,3,7,11,17"
m-Maj7add13,"0,3,7,11,21"
tri,"0,3,6,9"
Majb7,"0,4,7,9"
Min#5,"0,3,8"
Dom7,"0,4,7,10"
Dom7b5,"0,4,6,10"
Dom7#5,"0,4,8,10"
Dim7,"0,3,6,9"
m#5,"0,3,8"
m#7#5,"0,3,8,11"
m7#5,"0,3,8,11"
Aug-06,"0,4,8,9"
